amount,value_date,posted_date,narration,account_no
8012.11,2026-08-04,2026-08-04,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260804F039F0E6,XXXXXXXX4021
1097.46,2026-08-05,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260805DE6EA324,XXXXXXXX4021
8297.79,2026-08-05,2026-08-05,NEFT CR SUNDRY RECEIPTS,XXXXXXXX4021
8394.02,2026-08-06,2026-08-06,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202608069753C796,XXXXXXXX4021
5216.55,2026-08-07,2026-08-07,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260807021769B5,XXXXXXXX4021
4860.96,2026-08-10,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP2026081081AEBA8F,XXXXXXXX4021
19436.29,2026-08-11,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD,XXXXXXXX4021
3029.66,2026-08-12,2026-08-12,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202608125F11EFF2,XXXXXXXX4021
8455.33,2026-08-17,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260817F3BD0529,XXXXXXXX4021
19997.98,2026-08-18,2026-08-18,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260818F88E8496,XXXXXXXX4021
5324.81,2026-08-19,2026-08-19,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260819272B2D23,XXXXXXXX4021
4089.77,2026-08-20,2026-08-20,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP2026082087F24E91,XXXXXXXX4021
10338.55,2026-08-21,2026-08-21,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP2026082155799DAE,XXXXXXXX4021
10804.15,2026-08-24,2026-08-24,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202608246E23F0B9,XXXXXXXX4021
25762.47,2026-08-25,2026-08-25,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202608259F6B25BD,XXXXXXXX4021
13660.66,2026-08-26,2026-08-26,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260826847B1806,XXXXXXXX4021
12097.98,2026-08-28,2026-08-28,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260828FB99DCA8,XXXXXXXX4021
813.48,2026-08-31,2026-08-31,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP20260831EC900B8D,XXXXXXXX4021
9694.34,2026-09-01,2026-09-01,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202609012D9FF95F,XXXXXXXX4021
-813.48,2026-09-02,2026-09-02,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202609024F300B45,XXXXXXXX4021
-3398.02,2026-09-03,2026-09-03,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR RZP202609034A40D888,XXXXXXXX4021
