entity_id,type,debit,credit,amount,fee,tax,currency,settlement_utr,settlement_id,created_at,settled_at,payment_id,order_id,order_receipt,method,card_network,card_type,dispute_id,description,notes
pay_00000,payment,0,126034,126034,0,0,INR,RZP202608111A901754,setl_2026-08-11,1786163400,1786404600,pay_00000,ord_00000,rcpt-00000,upi,,,,Payment for ord_00000,
pay_00001,payment,0,123517,123517,0,0,INR,RZP20260826847B1806,setl_2026-09-02,1787545800,1788305400,pay_00001,ord_00001,rcpt-00001,upi,,,,Payment for ord_00001,
pay_00002,payment,0,260767,260767,0,0,INR,RZP202608111A901754,setl_2026-08-11,1786077000,1786404600,pay_00002,ord_00002,rcpt-00002,upi,,,,Payment for ord_00002,
pay_00003,payment,0,204002,204002,3916,705,INR,RZP2026082087F24E91,setl_2026-08-20,1787027400,1787182200,pay_00003,ord_00003,rcpt-00003,card,VISA,credit,,Payment for ord_00003,
pay_00004,payment,0,83145,83145,0,0,INR,RZP2026082155799DAE,setl_2026-08-21,1787113800,1787268600,pay_00004,ord_00004,rcpt-00004,upi,,,,Payment for ord_00004,
pay_00005,payment,0,68522,68522,617,111,INR,RZP20260827B102DC1E,setl_2026-08-27,1787632200,1787787000,pay_00005,ord_00005,rcpt-00005,netbanking,,,,Payment for ord_00005,
pay_00006,payment,0,113641,113641,0,0,INR,RZP20260827B102DC1E,setl_2026-08-27,1787632200,1787787000,pay_00006,ord_00006,rcpt-00006,upi,,,,Payment for ord_00006,
pay_00007,payment,0,76141,76141,0,0,INR,RZP202608069753C796,setl_2026-08-06,1785817800,1785972600,pay_00007,ord_00007,rcpt-00007,upi,,,,Payment for ord_00007,
pay_00008,payment,0,102717,102717,0,0,INR,RZP20260818F88E8496,setl_2026-08-18,1786768200,1787009400,pay_00008,ord_00008,rcpt-00008,upi,,,,Payment for ord_00008,
pay_00009,payment,0,219919,219919,4178,752,INR,RZP20260817F3BD0529,setl_2026-08-17,1786595400,1786923000,pay_00009,ord_00009,rcpt-00009,wallet,,,,Payment for ord_00009,
pay_00010,payment,0,107059,107059,964,174,INR,RZP202608148EE2120A,setl_2026-08-14,1786509000,1786663800,pay_00010,ord_00010,rcpt-00010,netbanking,,,,Payment for ord_00010,
pay_00011,payment,0,360198,360198,6484,1167,INR,RZP20260804F039F0E6,setl_2026-08-04,1785645000,1785799800,pay_00011,ord_00011,rcpt-00011,card,VISA,credit,,Payment for ord_00011,
pay_00012,payment,0,186971,186971,1683,303,INR,RZP202609012D9FF95F,setl_2026-09-01,1787891400,1788219000,pay_00012,ord_00012,rcpt-00012,netbanking,,,,Payment for ord_00012,
pay_00013,payment,0,18661,18661,0,0,INR,RZP202608259F6B25BD,setl_2026-08-25,1787286600,1787614200,pay_00013,ord_00013,rcpt-00013,upi,,,,Payment for ord_00013,
pay_00014,payment,0,196283,196283,3533,636,INR,RZP202608259F6B25BD,setl_2026-08-25,1787459400,1787614200,pay_00014,ord_00014,rcpt-00014,card,VISA,credit,,Payment for ord_00014,
pay_00015,payment,0,243948,243948,4391,790,INR,RZP202608246E23F0B9,setl_2026-08-24,1787200200,1787527800,pay_00015,ord_00015,rcpt-00015,card,VISA,credit,,Payment for ord_00015,
pay_00016,payment,0,83502,83502,0,0,INR,RZP202608111A901754,setl_2026-08-11,1786249800,1786404600,pay_00016,ord_00016,rcpt-00016,upi,,,,Payment for ord_00016,
pay_00017,payment,0,124680,124680,2244,404,INR,RZP2026082087F24E91,setl_2026-08-20,1787027400,1787182200,pay_00017,ord_00017,rcpt-00017,card,VISA,credit,,Payment for ord_00017,
pay_00018,payment,0,81348,81348,0,0,INR,RZP20260831EC900B8D,setl_2026-08-31,1787805000,1788132600,pay_00018,ord_00018,rcpt-00018,upi,,,,Payment for ord_00018,
rfnd_00018,refund,81348,0,81348,0,0,INR,RZP202609024F300B45,setl_2026-09-02,1788132600,1788305400,pay_00018,ord_00018,rcpt-00018,upi,,,,Refund for ord_00018,
pay_00019,payment,0,406062,406062,0,0,INR,RZP202608111A901754,setl_2026-08-11,1786077000,1786404600,pay_00019,ord_00019,rcpt-00019,upi,,,,Payment for ord_00019,
pay_00020,payment,0,50476,50476,0,0,INR,RZP20260818F88E8496,setl_2026-08-18,1786854600,1787009400,pay_00020,ord_00020,rcpt-00020,upi,,,,Payment for ord_00020,
pay_00021,payment,0,88338,88338,795,143,INR,RZP20260818F88E8496,setl_2026-08-18,1786768200,1787009400,pay_00021,ord_00021,rcpt-00021,netbanking,,,,Payment for ord_00021,
pay_00022,payment,0,292105,292105,0,0,INR,RZP20260826847B1806,setl_2026-09-02,1787545800,1788305400,pay_00022,ord_00022,rcpt-00022,upi,,,,Payment for ord_00022,
pay_00023,payment,0,339454,339454,3055,550,INR,RZP20260817F3BD0529,setl_2026-08-17,1786595400,1786923000,pay_00023,ord_00023,rcpt-00023,netbanking,,,,Payment for ord_00023,
pay_00024,payment,0,204249,204249,0,0,INR,RZP20260827B102DC1E,setl_2026-08-27,1787632200,1787787000,pay_00024,ord_00024,rcpt-00024,upi,,,,Payment for ord_00024,
rfnd_00024,refund,102124,0,102124,0,0,INR,RZP20260828FB99DCA8,setl_2026-08-28,1787787000,1787873400,pay_00024,ord_00024,rcpt-00024,upi,,,,Refund for ord_00024,
pay_00025,payment,0,138518,138518,2493,449,INR,RZP20260828FB99DCA8,setl_2026-08-28,1787718600,1787873400,pay_00025,ord_00025,rcpt-00025,card,VISA,credit,,Payment for ord_00025,
pay_00026,payment,0,79061,79061,1423,256,INR,RZP20260818F88E8496,setl_2026-08-18,1786768200,1787009400,pay_00026,ord_00026,rcpt-00026,card,VISA,credit,,Payment for ord_00026,
pay_00027,payment,0,94119,94119,1788,322,INR,RZP202609012D9FF95F,setl_2026-09-01,1787891400,1788219000,pay_00027,ord_00027,rcpt-00027,wallet,,,,Payment for ord_00027,
pay_00028,payment,0,120416,120416,1084,195,INR,RZP20260827B102DC1E,setl_2026-08-27,1787632200,1787787000,pay_00028,ord_00028,rcpt-00028,netbanking,,,,Payment for ord_00028,
pay_00029,payment,0,101974,101974,1836,330,INR,RZP202608069753C796,setl_2026-08-06,1785817800,1785972600,pay_00029,ord_00029,rcpt-00029,card,VISA,credit,,Payment for ord_00029,
pay_00030,payment,0,143769,143769,2588,466,INR,RZP20260826847B1806,setl_2026-09-02,1787545800,1788305400,pay_00030,ord_00030,rcpt-00030,card,VISA,credit,,Payment for ord_00030,
pay_00031,payment,0,146162,146162,0,0,INR,RZP2026081081AEBA8F,setl_2026-08-10,1785990600,1786318200,pay_00031,ord_00031,rcpt-00031,upi,,,,Payment for ord_00031,
pay_00032,payment,0,300982,300982,5418,975,INR,RZP20260819272B2D23,setl_2026-08-19,1786941000,1787095800,pay_00032,ord_00032,rcpt-00032,card,VISA,credit,,Payment for ord_00032,
pay_00033,payment,0,256059,256059,0,0,INR,RZP20260827B102DC1E,setl_2026-08-27,1787632200,1787787000,pay_00033,ord_00033,rcpt-00033,upi,,,,Payment for ord_00033,
pay_00034,payment,0,634736,634736,5713,1028,INR,RZP202608246E23F0B9,setl_2026-08-24,1787200200,1787527800,pay_00034,ord_00034,rcpt-00034,netbanking,,,,Payment for ord_00034,
pay_00035,payment,0,88367,88367,0,0,INR,RZP202608148EE2120A,setl_2026-08-14,1786509000,1786663800,pay_00035,ord_00035,rcpt-00035,upi,,,,Payment for ord_00035,
pay_00036,payment,0,187167,187167,0,0,INR,RZP2026082155799DAE,setl_2026-08-21,1787113800,1787268600,pay_00036,ord_00036,rcpt-00036,upi,,,,Payment for ord_00036,
pay_00037,payment,0,82649,82649,0,0,INR,RZP20260818F88E8496,setl_2026-08-18,1786854600,1787009400,pay_00037,ord_00037,rcpt-00037,upi,,,,Payment for ord_00037,
pay_00038,payment,0,327877,327877,0,0,INR,RZP202608259F6B25BD,setl_2026-08-25,1787373000,1787614200,pay_00038,ord_00038,rcpt-00038,upi,,,,Payment for ord_00038,
pay_00039,payment,0,123761,123761,0,0,INR,RZP202608111A901754,setl_2026-08-11,1786249800,1786404600,pay_00039,ord_00039,rcpt-00039,upi,,,,Payment for ord_00039,
